,No-adapt,HDisc,DANN
0.0,0.22050464153289795,0.22189480066299438,0.2292814999818802
0.1,0.21444876492023468,0.21415975689888,0.23495051264762878
0.2,0.26047465205192566,0.2547380328178406,0.29554036259651184
0.30000000000000004,0.36041608452796936,0.34978923201560974,0.4122661352157593
0.4,0.5104226469993591,0.4903919994831085,0.5805277228355408
0.5,0.6950793862342834,0.6698496341705322,0.7842530608177185
0.6000000000000001,0.9091688394546509,0.8812892436981201,1.0173368453979492
0.7000000000000001,1.1316921710968018,1.0438084602355957,1.2575678825378418
0.8,1.3220471143722534,1.197191834449768,1.4618704319000244
0.9,1.4842427968978882,1.391672134399414,1.6294608116149902
1.0,1.6322872638702393,1.4459588527679443,1.771810531616211
